"invoiceNumber","slug","Invoice Details","Invoices (Item)","Client Receipt","Client Payment Confirmation","company","contact","project","invoiceDate","po","total","notes","status","paymentSchedules","search","ID","Created Date","Updated Date","Owner","companyInvoice","quotation","paymentDueDate"
"INV-26MM-157","inv-26mm-157","/dashboard-invoice/inv-26mm-157","/public-invoice/inv-26mm-157/004bf19d-6368-4ca2-a930-7044878f9d4b","/receipt/inv-26mm-157/004bf19d-6368-4ca2-a930-7044878f9d4b","/payment-confirmation/inv-26mm-157/004bf19d-6368-4ca2-a930-7044878f9d4b","f644f0b2-3ef9-4d0a-80c3-276de3135008","c41d6ea6-538d-4691-9b4f-ee062e44719f","fe578398-ead8-4e5c-902c-1ba9d28746b3",2026-03-19T20:00:00Z,"N/A",6202.35,,"Paid","[{""percentage"":1,""_id"":""5aa3bd16-a883-444d-b6a3-26ae64de94b4"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2026-02-27T05:58:11.013Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2026-03-23T08:47:41.467Z""},""amount"":6202.35,""company"":""f644f0b2-3ef9-4d0a-80c3-276de3135008"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Due every 21st of the month"",""invoice"":""004bf19d-6368-4ca2-a930-7044878f9d4b"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2026-03-20T20:00:00Z""},""paymentDate"":{""$date"":""2026-03-22T20:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-26MM-157, Canterra Properties - Social Media & Website Blogs, Canterra Properties","004bf19d-6368-4ca2-a930-7044878f9d4b",2026-02-27T05:56:48Z,2026-04-27T10:58:52Z,"01f011dc-8d52-4de4-9524-780ccef3313b","Canterra Properties",,2026-03-19T20:00:00Z
"INV-REV23MM-096","inv-rev23mm-096","/dashboard-invoice/inv-rev23mm-096","/public-invoice/inv-rev23mm-096/00724084-8aab-4996-b404-d46c13291eae","/receipt/inv-rev23mm-096/00724084-8aab-4996-b404-d46c13291eae","/payment-confirmation/inv-rev23mm-096/00724084-8aab-4996-b404-d46c13291eae","f9c4b9cf-50cd-44a2-ba40-f853a021b41f","2969a5b1-27f4-4a9e-bde4-8ee5ecf4dd85",,2023-10-22T16:00:00Z,"N/A",1500,,"Paid",,"INV-REV23MM-096, ATEX International Exhibitions","00724084-8aab-4996-b404-d46c13291eae",2023-10-23T06:50:14Z,2024-07-18T07:42:43Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","ATEX International Exhibitions",,
"INV-24MM-096","inv-24mm-096","/dashboard-invoice/inv-24mm-096","/public-invoice/inv-24mm-096/00a3c547-c49f-45a2-a0cd-262799b8fd8b","/receipt/inv-24mm-096/00a3c547-c49f-45a2-a0cd-262799b8fd8b","/payment-confirmation/inv-24mm-096/00a3c547-c49f-45a2-a0cd-262799b8fd8b","734506c8-4e02-428f-92a5-1f1a96a7cd28","7bb6ae04-1720-4b69-b428-1b13a67b8fe8","2b81ae2e-a042-458a-89a1-643b15f88a9a",2024-09-05T20:00:00Z,"WA0076299",2625,,"Paid","[{""percentage"":1,""_id"":""2e6d095b-3e69-468a-80a4-7336babb99f7"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2024-09-06T08:53:45.577Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-08-06T04:53:14.527Z""},""amount"":2625,""company"":""734506c8-4e02-428f-92a5-1f1a96a7cd28"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""100% Immediate Payment"",""invoice"":""00a3c547-c49f-45a2-a0cd-262799b8fd8b"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2024-11-11T20:00:00Z""},""paymentDate"":{""$date"":""2024-10-15T20:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-24MM-096, Waldorf Astoria","00a3c547-c49f-45a2-a0cd-262799b8fd8b",2024-09-06T08:52:23Z,2026-01-27T11:18:26Z,"01f011dc-8d52-4de4-9524-780ccef3313b","Waldorf Astoria",,
"INV-24MM-038","inv-24mm-038","/dashboard-invoice/inv-24mm-038","/public-invoice/inv-24mm-038/00b5f302-9a63-4294-b78d-de0472643ece","/receipt/inv-24mm-038/00b5f302-9a63-4294-b78d-de0472643ece","/payment-confirmation/inv-24mm-038/00b5f302-9a63-4294-b78d-de0472643ece","709a109c-f6e2-4e14-9f42-9f916e51303a","d43dace8-aca3-40d1-be84-64493c952739","d583bdde-874d-4955-af8d-45c8655879ae",2024-03-03T16:00:00Z,"N/A",5250,,"Cancelled","[{""_id"":""f2f11cd7-47e7-4629-a38e-56e82d638749"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2024-03-04T09:26:25.079Z""},""paymentMethod"":"""",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2024-03-21T06:35:33.872Z""},""amount"":5250,""company"":""709a109c-f6e2-4e14-9f42-9f916e51303a"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""100% Immediate Payment"",""invoice"":""00b5f302-9a63-4294-b78d-de0472643ece"",""note"":"""",""status"":""Due"",""dueDate"":{""$date"":""2024-03-03T16:00:00Z""},""paymentDate"":null,""notes"":""<p>03/21/2024 - Chased</p>"",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-24MM-038, Team 71 - Corporate Portfolio Website, TEAM 71","00b5f302-9a63-4294-b78d-de0472643ece",2024-03-04T09:25:26Z,2025-01-16T07:16:04Z,"01f011dc-8d52-4de4-9524-780ccef3313b","TEAM 71",,
"INV-25MM-119","inv-25mm-119","/dashboard-invoice/inv-25mm-119","/public-invoice/inv-25mm-119/023bc895-306a-4530-b650-5ad7d42a1d32","/receipt/inv-25mm-119/023bc895-306a-4530-b650-5ad7d42a1d32","/payment-confirmation/inv-25mm-119/023bc895-306a-4530-b650-5ad7d42a1d32","e5a8f142-b45d-4375-973d-f0cc776663e1","362a2d4b-7db8-4972-b783-40b81cfb06ae","1212678d-037b-475a-b187-a27821e2d3c8",2025-11-18T20:00:00Z,"N/A",275.00000000000006,,"Paid","[{""percentage"":1,""_id"":""ddf905f9-d621-43b5-9767-356e8401fef0"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-11-19T10:47:17.771Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-11-28T06:45:21.099Z""},""amount"":275.00000000000006,""company"":""e5a8f142-b45d-4375-973d-f0cc776663e1"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Due on 28th of the month"",""invoice"":""023bc895-306a-4530-b650-5ad7d42a1d32"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2025-11-27T20:00:00Z""},""paymentDate"":{""$date"":""2025-11-27T20:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-25MM-119, Airstay Holiday Homes - Social Media Marketing, Airstay Holiday Homes ","023bc895-306a-4530-b650-5ad7d42a1d32",2025-11-19T10:36:27Z,2026-01-27T12:30:33Z,"01f011dc-8d52-4de4-9524-780ccef3313b","Airstay Holiday Homes ",,2025-11-18T20:00:00Z
"INV-25MM-098","inv-25mm-098","/dashboard-invoice/inv-25mm-098","/public-invoice/inv-25mm-098/026832c4-03b8-4b9d-9556-063f5d16601c","/receipt/inv-25mm-098/026832c4-03b8-4b9d-9556-063f5d16601c","/payment-confirmation/inv-25mm-098/026832c4-03b8-4b9d-9556-063f5d16601c","1cb9a32b-26b8-4687-9a84-1a4ca764a5a0","9cec629a-a28c-4904-9aa4-aef4bc1862e6","a4085aad-db35-4348-9092-9148803f2c72",2025-10-05T20:00:00Z,"N/A",2625,,"Paid","[{""percentage"":1,""_id"":""5d4f0003-e92a-41b6-a2ef-c79fdfab0211"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-10-06T04:23:00.753Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-10-13T07:04:07.434Z""},""amount"":2625,""company"":""1cb9a32b-26b8-4687-9a84-1a4ca764a5a0"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Due Payment"",""invoice"":""026832c4-03b8-4b9d-9556-063f5d16601c"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2025-10-05T20:00:00Z""},""paymentDate"":{""$date"":""2025-10-11T20:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-25MM-098, Dantata Organization - Web Design & Development, A & A Technologies DMCC","026832c4-03b8-4b9d-9556-063f5d16601c",2025-10-06T04:20:53Z,2026-01-27T08:30:29Z,"01f011dc-8d52-4de4-9524-780ccef3313b","A and A consultancy engineering - Sole proprietorship LLC",,2025-10-05T20:00:00Z
"INV-25MM-069","inv-25mm-069","/dashboard-invoice/inv-25mm-069","/public-invoice/inv-25mm-069/0269a54a-3cf4-4868-9364-d5781d8186ab","/receipt/inv-25mm-069/0269a54a-3cf4-4868-9364-d5781d8186ab","/payment-confirmation/inv-25mm-069/0269a54a-3cf4-4868-9364-d5781d8186ab","f93f643b-5796-45aa-a79f-c8d0b609c130","7ac44f8a-6c52-4559-b16f-185332404de4","47d93cff-6005-493a-9f0c-578cfaf57506",2025-07-07T20:00:00Z,"N/A",3675,,"Cancelled","[{""paymentNumber"":""RX-25MM-069"",""percentage"":1,""_id"":""4c2782fe-84da-4b8e-af21-dce4595cc8c4"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-07-08T06:33:14.236Z""},""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-07-08T06:33:14.236Z""},""amount"":3675,""company"":""f93f643b-5796-45aa-a79f-c8d0b609c130"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Due for Payment"",""invoice"":""0269a54a-3cf4-4868-9364-d5781d8186ab"",""note"":"""",""status"":""Not Due"",""dueDate"":{""$date"":""2025-07-30T20:00:00Z""},""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-25MM-069, FX Unlocked - Social Media Marketing, FX Unlocked","0269a54a-3cf4-4868-9364-d5781d8186ab",2025-07-08T06:32:24Z,2025-12-09T10:14:10Z,"01f011dc-8d52-4de4-9524-780ccef3313b","FX Unlocked",,
"INV-25MM-019","inv-25mm-019","/dashboard-invoice/inv-25mm-019","/public-invoice/inv-25mm-019/02fd6982-dffb-46ec-8028-65abfb3ffec8","/receipt/inv-25mm-019/02fd6982-dffb-46ec-8028-65abfb3ffec8","/payment-confirmation/inv-25mm-019/02fd6982-dffb-46ec-8028-65abfb3ffec8","56eac7e9-af94-47c0-b4b1-2a4101a9b0c1","04be3f3e-1786-4d4b-a1cc-743721b3c18c","5dd8d88e-58bc-4e12-9cfb-55a3306b21cd",2025-03-06T20:00:00Z,"N/A",563383,,"Partial","[{""percentage"":null,""_id"":""799b058d-b867-451f-82eb-59f34c6b7576"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-03-07T08:15:09.985Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-08-06T04:53:14.527Z""},""amount"":25375,""company"":""56eac7e9-af94-47c0-b4b1-2a4101a9b0c1"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Monthly Payment: Payment 1"",""invoice"":""02fd6982-dffb-46ec-8028-65abfb3ffec8"",""note"":""<p>12 Payments over 12 Months</p>"",""status"":""Paid"",""dueDate"":{""$date"":""2025-03-06T20:00:00Z""},""paymentDate"":{""$date"":""2025-03-13T20:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""percentage"":null,""_id"":""17d08740-f3d0-4fac-90af-6ede22b227eb"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-03-07T08:15:09.988Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-08-06T04:53:14.526Z""},""amount"":31722,""company"":""56eac7e9-af94-47c0-b4b1-2a4101a9b0c1"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Payment 2"",""invoice"":""02fd6982-dffb-46ec-8028-65abfb3ffec8"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2025-04-06T20:00:00Z""},""paymentDate"":{""$date"":""2025-04-14T20:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""percentage"":0,""_id"":""bd8416d3-664c-47d7-af0a-460dbe5d3181"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-03-07T08:15:09.989Z""},""paymentMethod"":""3b10f3fc-ba88-415d-b2a9-024cd41f5268"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-08-06T04:53:14.528Z""},""amount"":31722,""company"":""56eac7e9-af94-47c0-b4b1-2a4101a9b0c1"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Payment 3"",""invoice"":""02fd6982-dffb-46ec-8028-65abfb3ffec8"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2025-05-06T20:00:00Z""},""paymentDate"":{""$date"":""2025-05-14T20:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""percentage"":0,""_id"":""307d0bef-2593-4ddb-87fb-1fb5838da5c9"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-03-07T08:15:09.984Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-08-06T04:53:14.527Z""},""amount"":31722,""company"":""56eac7e9-af94-47c0-b4b1-2a4101a9b0c1"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Payment 4"",""invoice"":""02fd6982-dffb-46ec-8028-65abfb3ffec8"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2025-06-06T20:00:00Z""},""paymentDate"":{""$date"":""2025-06-12T20:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""percentage"":null,""_id"":""975bf8cd-270f-4dfd-8b2b-b5fc0ce20622"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-03-07T08:15:09.986Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-08-25T14:24:32.645Z""},""amount"":54585.75,""company"":""56eac7e9-af94-47c0-b4b1-2a4101a9b0c1"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Payment 5"",""invoice"":""02fd6982-dffb-46ec-8028-65abfb3ffec8"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2025-07-06T20:00:00Z""},""paymentDate"":{""$date"":""2025-07-23T20:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""percentage"":null,""_id"":""be91e50c-bfaa-4032-93ed-441cc342487f"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-03-07T08:15:09.987Z""},""paymentMethod"":"""",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-08-25T14:25:44.749Z""},""amount"":54632.75,""company"":""56eac7e9-af94-47c0-b4b1-2a4101a9b0c1"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Payment 6"",""invoice"":""02fd6982-dffb-46ec-8028-65abfb3ffec8"",""note"":"""",""status"":""Due"",""dueDate"":{""$date"":""2025-08-18T20:00:00Z""},""paymentDate"":null,""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""percentage"":null,""_id"":""17656c89-4ee7-4b61-ac14-bc95199cf136"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-03-07T08:15:09.981Z""},""paymentMethod"":"""",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-08-06T04:53:14.526Z""},""amount"":33253.25,""company"":""56eac7e9-af94-47c0-b4b1-2a4101a9b0c1"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Payment 7"",""invoice"":""02fd6982-dffb-46ec-8028-65abfb3ffec8"",""note"":"""",""status"":""Not Due"",""dueDate"":{""$date"":""2025-09-06T20:00:00Z""},""paymentDate"":null,""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""percentage"":null,""_id"":""5423336d-c30c-43b6-ac8c-49514e4d5cd9"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-03-07T08:15:09.972Z""},""paymentMethod"":"""",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-08-06T04:53:14.527Z""},""amount"":33253.25,""company"":""56eac7e9-af94-47c0-b4b1-2a4101a9b0c1"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Payment 8 "",""invoice"":""02fd6982-dffb-46ec-8028-65abfb3ffec8"",""note"":"""",""status"":""Not Due"",""dueDate"":{""$date"":""2025-10-06T20:00:00Z""},""paymentDate"":null,""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""percentage"":null,""_id"":""7d07a812-f85c-4f7f-875d-070bfa7be0dd"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-03-07T08:15:09.978Z""},""paymentMethod"":"""",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-08-06T04:53:14.528Z""},""amount"":33253.25,""company"":""56eac7e9-af94-47c0-b4b1-2a4101a9b0c1"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Payment 9"",""invoice"":""02fd6982-dffb-46ec-8028-65abfb3ffec8"",""note"":"""",""status"":""Not Due"",""dueDate"":{""$date"":""2025-11-06T20:00:00Z""},""paymentDate"":null,""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""percentage"":null,""_id"":""c352f3d3-0017-4bc6-8649-26b4c26c1db4"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-03-07T08:15:09.976Z""},""paymentMethod"":"""",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-08-06T04:53:14.528Z""},""amount"":33253.25,""company"":""56eac7e9-af94-47c0-b4b1-2a4101a9b0c1"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Payment 10"",""invoice"":""02fd6982-dffb-46ec-8028-65abfb3ffec8"",""note"":"""",""status"":""Not Due"",""dueDate"":{""$date"":""2025-12-06T20:00:00Z""},""paymentDate"":null,""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""percentage"":null,""_id"":""820fd16f-ca07-460f-a7aa-ce6e8b968824"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-03-07T08:15:09.975Z""},""paymentMethod"":"""",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-08-06T04:53:14.528Z""},""amount"":33253.25,""company"":""56eac7e9-af94-47c0-b4b1-2a4101a9b0c1"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Payment 12"",""invoice"":""02fd6982-dffb-46ec-8028-65abfb3ffec8"",""note"":"""",""status"":""Not Due"",""dueDate"":{""$date"":""2026-02-06T20:00:00Z""},""paymentDate"":null,""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""percentage"":null,""_id"":""9597f18a-0cf5-4f3a-b5f0-074101022bba"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-03-07T08:15:09.972Z""},""paymentMethod"":"""",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-08-06T04:53:14.528Z""},""amount"":33253.25,""company"":""56eac7e9-af94-47c0-b4b1-2a4101a9b0c1"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Payment 12"",""invoice"":""02fd6982-dffb-46ec-8028-65abfb3ffec8"",""note"":"""",""status"":""Not Due"",""dueDate"":{""$date"":""2026-02-06T20:00:00Z""},""paymentDate"":null,""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-25MM-019, E L I T E Property Brokerage LLC","02fd6982-dffb-46ec-8028-65abfb3ffec8",2025-03-07T08:15:09Z,2026-04-03T07:02:56Z,"01f011dc-8d52-4de4-9524-780ccef3313b","E L I T E Property Brokerage LLC","df925f2f-9b5d-4b3e-9d8a-70807779f8b3",
"INV-REV22MM-034","inv-rev22mm-034","/dashboard-invoice/inv-rev22mm-034","/public-invoice/inv-rev22mm-034/036e79f0-2f11-4cf0-b029-e244205ff0cb","/receipt/inv-rev22mm-034/036e79f0-2f11-4cf0-b029-e244205ff0cb","/payment-confirmation/inv-rev22mm-034/036e79f0-2f11-4cf0-b029-e244205ff0cb","3ff05957-c1b1-4d96-8e10-c8164cc198fd","fdf70f20-146d-4d8b-98c9-3d92d92f6c7d","974ae1b1-ce1a-4c27-9d9e-ae9faddde62d",2022-10-15T20:00:00Z,,2750,,"Paid","[{""_id"":""b51dc72e-fb2a-4524-8746-eacd1a608c3f"",""_owner"":""e168cbe8-c8cb-4ec3-b920-be764ec09acc"",""_createdDate"":{""$date"":""2023-01-20T10:39:04.642Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2023-04-17T20:51:51.707Z""},""amount"":2750,""company"":""3ff05957-c1b1-4d96-8e10-c8164cc198fd"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Initial Payment"",""invoice"":""036e79f0-2f11-4cf0-b029-e244205ff0cb"",""note"":""<p>Annual Subscription &amp; Maintenance</p>"",""status"":""Paid"",""dueDate"":{""$date"":""2023-01-18T20:00:00Z""},""paymentDate"":{""$date"":""2023-01-30T20:00:00Z""},""notes"":"""",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""},{""paymentNumber"":""RX-REV22MM-034"",""_id"":""150720d0-9709-4b0d-bfe9-b0ef8eb7fd50"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2024-05-29T06:02:08.526Z""},""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2024-05-29T06:02:08.526Z""},""amount"":2100,""company"":""3ff05957-c1b1-4d96-8e10-c8164cc198fd"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Due for Payment"",""invoice"":""036e79f0-2f11-4cf0-b029-e244205ff0cb"",""note"":"""",""status"":""Due"",""dueDate"":{""$date"":""2023-02-24T16:00:00Z""},""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-REV22MM-034, Gout De Vie","036e79f0-2f11-4cf0-b029-e244205ff0cb",2022-11-28T18:16:10Z,2024-09-17T05:46:39Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Gout De Vie",,
"INV-25MM-040","inv-25mm-040","/dashboard-invoice/inv-25mm-040","/public-invoice/inv-25mm-040/03ad09c0-5d46-48b6-9b50-1f5425e0ea5b","/receipt/inv-25mm-040/03ad09c0-5d46-48b6-9b50-1f5425e0ea5b","/payment-confirmation/inv-25mm-040/03ad09c0-5d46-48b6-9b50-1f5425e0ea5b","f9c4b9cf-50cd-44a2-ba40-f853a021b41f","2969a5b1-27f4-4a9e-bde4-8ee5ecf4dd85","13ff8e1e-b091-4faf-8f25-8308122776b3",2025-05-28T20:00:00Z,"N/A",213,,"Paid","[{""percentage"":1,""_id"":""d7464061-95e9-4564-bc58-2c422909f71e"",""_owner"":""01f011dc-8d52-4de4-9524-780ccef3313b"",""_createdDate"":{""$date"":""2025-05-29T07:49:15.299Z""},""paymentMethod"":""1e696b2d-37f8-4c75-ae62-d0f85cda27a7"",""link-copy-of-dashboard-debt-report-all"":""/dashboard-payments/"",""_updatedDate"":{""$date"":""2025-10-22T12:10:54.376Z""},""amount"":213,""company"":""f9c4b9cf-50cd-44a2-ba40-f853a021b41f"",""link-payments-paymentNumber"":""/dashboard-debt-report/"",""payment"":""Due for Payment"",""invoice"":""03ad09c0-5d46-48b6-9b50-1f5425e0ea5b"",""note"":"""",""status"":""Paid"",""dueDate"":{""$date"":""2025-05-28T20:00:00Z""},""paymentDate"":{""$date"":""2025-06-24T20:00:00Z""},""notes"":""<p>Paid thru reimbursement</p>"",""invoiceStatus"":""Active"",""link-copy-of-dashboard-payments-all"":""/dashboard-all-schedules/""}]","INV-25MM-040, ATEX International Exhibitions - Website Update & Revamp, ATEX International Exhibitions","03ad09c0-5d46-48b6-9b50-1f5425e0ea5b",2025-05-29T07:48:38Z,2025-10-22T12:11:02Z,"01f011dc-8d52-4de4-9524-780ccef3313b","ATEX International Exhibitions",,
